Tm,Year,#Bat,BatAge,G,PA,AB,R/G,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,#P,PAge,RA/G,ERA,GF,CG,tSho,cSho,SV,IP,H_P,R,ER,HR_P,BB_P,IBB_P,SO_P,HBP_P,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB_P,#Fld,RA/G_F,DefEff,GS,CG_F,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,BPF,PPF,#a-tA-S,1Run,Under500,SOS,W-L%
Oakland Athletics,1994,43,29.2,114,38.56140351,34.07894737,4.82,8.850877193,1.561403509,0.114035088,0.99122807,4.51754386,0.798245614,0.342105263,3.657894737,6.01754386,0.26,0.33,0.399,0.73,95,13.61403509,0.692982456,0.157894737,0.210526316,0.447368421,0.184210526,7.087719298,20,29.8,5.17,4.8,0.894736842,0.105263158,9,3,0.201754386,8.799122807,8.587719298,5.166666667,4.692982456,1.122807018,4.473684211,0.263157895,6.421052632,0.298245614,0.105263158,0.368421053,38.79824561,92,4.96,1.484,8.8,1.1,4.6,6.6,1.44,7.228070175,43,5.17,0.7,9,6.675438596,79.21052632,37.01754386,26.40350877,9.842105263,0.771929825,0.921052632,0.979,28,4,91,92,12,0.412,0.570,0.1,0.447
Philadelphia Phillies,1994,40,29.8,115,38.57391304,34.14782609,4.53,8.939130435,1.808695652,0.243478261,0.695652174,4.208695652,0.582608696,0.208695652,3.443478261,6.182608696,0.262,0.332,0.39,0.722,86,13.32173913,0.826086957,0.269565217,0.443478261,0.269565217,0.382608696,7.313043478,20,29.3,4.32,3.85,0.939130435,0.060869565,6,1,0.260869565,8.905217391,8.939130435,4.32173913,3.808695652,0.852173913,3.27826087,0.243478261,6.07826087,0.243478261,0.052173913,0.391304348,38.59130435,112,4.2,1.372,9,0.9,3.3,6.1,1.85,7.547826087,40,4.32,0.693,9,7,80.16521739,37.48695652,26.72173913,9.947826087,0.817391304,0.834782609,0.978,-34,-4,102,102,15,0.316,0.635,0,0.47
Pittsburgh Pirates,1994,39,29.1,114,37.72807018,33.89473684,4.09,8.780701754,1.736842105,0.201754386,0.701754386,3.815789474,0.464912281,0.219298246,3.061403509,6.359649123,0.259,0.322,0.384,0.706,83,13.02631579,0.789473684,0.192982456,0.315789474,0.245614035,0.254385965,7.184210526,18,27.2,5.09,4.64,0.929824561,0.070175439,2,1,0.210526316,8.81754386,9.596491228,5.087719298,4.543859649,1.026315789,3.245614035,0.456140351,5.701754386,0.359649123,0.096491228,0.210526316,38.53508772,93,4.58,1.456,9.8,1,3.3,5.8,1.76,6.98245614,39,5.09,0.678,9,6.912280702,79.39473684,39,26.46491228,11.73684211,0.798245614,1.149122807,0.98,25,3,101,102,7,0.469,0.544,0.2,0.465
San Diego Padres,1994,40,27.2,117,38.62393162,34.76923077,4.09,9.547008547,1.709401709,0.162393162,0.786324786,3.803418803,0.675213675,0.316239316,2.726495726,6.512820513,0.275,0.33,0.401,0.731,92,13.94017094,0.957264957,0.264957265,0.572649573,0.282051282,0.401709402,7.41025641,20,26.8,4.54,4.08,0.931623932,0.068376068,6,3,0.230769231,8.933333333,8.615384615,4.538461538,4.051282051,0.846153846,3.358974359,0.52991453,7.367521368,0.213675214,0.042735043,0.41025641,38.48717949,102,3.91,1.34,8.7,0.9,3.4,7.4,2.19,7.136752137,40,4.54,0.686,9,6.435897436,80.43589744,38.02564103,26.81196581,10.26495726,0.948717949,0.700854701,0.975,-96,-12,97,98,7,0.324,0.581,0.1,0.402
Seattle Mariners,1994,44,27.4,112,38.9375,34.66964286,5.08,9.330357143,1.883928571,0.160714286,1.366071429,4.901785714,0.428571429,0.1875,3.321428571,5.821428571,0.269,0.335,0.451,0.786,100,15.63392857,0.776785714,0.232142857,0.428571429,0.285714286,0.375,7,20,27.1,5.5,4.99,0.883928571,0.116071429,7,4,0.1875,8.785714286,9.383928571,5.5,4.875,0.973214286,4.339285714,0.348214286,6.8125,0.25,0.008928571,0.366071429,39.38392857,97,4.59,1.562,9.6,1,4.4,7,1.57,7.526785714,44,5.5,0.669,9,6.973214286,79.07142857,37.625,26.35714286,10.41964286,0.848214286,0.910714286,0.977,9,1,101,101,10,0.464,0.580,0.1,0.438
San Francisco Giants,1994,36,28.4,115,37.94782609,33.64347826,4.38,8.373913043,1.382608696,0.27826087,1.069565217,4.104347826,0.991304348,0.347826087,3.165217391,6.252173913,0.249,0.318,0.402,0.72,92,13.52173913,0.626086957,0.339130435,0.565217391,0.234782609,0.408695652,6.808695652,17,28.5,4.35,3.99,0.982608696,0.017391304,4,0,0.286956522,8.913913043,8.817391304,4.347826087,3.947826087,1.060869565,3.234782609,0.347826087,5.695652174,0.32173913,0.069565217,0.27826087,37.99130435,100,4.6,1.352,8.9,1.1,3.3,5.7,1.76,6.895652174,36,4.35,0.707,9,6.92173913,80.24347826,38.42608696,26.74782609,11.08695652,0.591304348,0.982608696,0.985,35,5,94,94,9,0.543,0.591,0.1,0.478
St. Louis Cardinals,1994,37,29,115,38.69565217,33.93043478,4.65,8.92173913,1.852173913,0.234782609,0.939130435,4.4,0.660869565,0.4,3.773913043,5.965217391,0.263,0.339,0.414,0.753,97,14.06086957,0.695652174,0.286956522,0.382608696,0.32173913,0.417391304,7.347826087,18,29.4,5.4,5.14,0.939130435,0.060869565,7,3,0.252173913,8.852173913,10.03478261,5.4,5.052173913,1.165217391,3.086956522,0.243478261,5.495652174,0.330434783,0.043478261,0.347826087,38.86956522,81,4.76,1.482,10.2,1.2,3.1,5.6,1.78,6.913043478,37,5.4,0.677,9,7.408695652,79.66956522,38.20869565,26.55652174,10.95652174,0.695652174,1.034782609,0.982,35,5,98,98,8,0.618,0.609,0,0.465
Texas Rangers,1994,41,27.3,114,39.74561404,34.93859649,5.38,9.771929825,1.736842105,0.236842105,1.087719298,5.105263158,0.719298246,0.307017544,3.833333333,6.403508772,0.28,0.353,0.436,0.79,104,15.24561404,0.833333333,0.315789474,0.359649123,0.298245614,0.324561404,7.570175439,22,29,6.11,5.45,0.912280702,0.087719298,4,3,0.228070175,8.973684211,10.31578947,6.114035088,5.438596491,1.377192982,3.456140351,0.254385965,5.99122807,0.280701754,0.043859649,0.438596491,40.30701754,89,5.04,1.535,10.3,1.4,3.5,6,1.73,7.271929825,40,6.11,0.673,9,6.99122807,80.76315789,38.92105263,26.92105263,11.07017544,0.929824561,0.929824561,0.976,-44,-6,99,100,14,0.471,0.658,0,0.456
Toronto Blue Jays,1994,34,29.3,115,38.8,34.45217391,4.92,9.252173913,1.826086957,0.260869565,1,4.643478261,0.686956522,0.226086957,3.365217391,6.008695652,0.269,0.336,0.424,0.76,95,14.6,0.834782609,0.330434783,0.260869565,0.382608696,0.295652174,7.130434783,17,29,5.03,4.7,0.886956522,0.113043478,4,4,0.226086957,8.913043478,9.156521739,5.034782609,4.652173913,1.104347826,4.191304348,0.2,7.234782609,0.27826087,0.060869565,0.469565217,39.44347826,103,4.62,1.498,9.2,1.1,4.2,7.3,1.73,7.669565217,34,5.03,0.681,9,7.147826087,80.2173913,36.65217391,26.73913043,9.208695652,0.704347826,0.913043478,0.981,-30,-4,100,100,14,0.464,0.626,0,0.478
Atlanta Braves,1995,40,27.9,144,37.94444444,33.43055556,4.48,8.347222222,1.458333333,0.1875,1.166666667,4.291666667,0.506944444,0.298611111,3.611111111,6.479166667,0.25,0.326,0.409,0.735,91,13.68055556,0.736111111,0.277777778,0.388888889,0.236111111,0.256944444,6.861111111,20,27.4,3.75,3.44,0.875,0.125,11,6,0.236111111,8.966666667,8.222222222,3.75,3.430555556,0.743055556,3.027777778,0.319444444,7.548611111,0.222222222,0.027777778,0.263888889,37.56944444,123,3.58,1.254,8.2,0.7,3,7.6,2.49,6.909722222,40,3.75,0.696,9,6.770833333,80.72916667,38.5,26.90972222,10.89583333,0.694444444,0.784722222,0.982,19,2,103,101,16,0.646,0.590,0,0.625
Baltimore Orioles,1995,46,30,144,38.40972222,33.59027778,4.89,8.798611111,1.590277778,0.1875,1.201388889,4.638888889,0.638888889,0.3125,3.986111111,5.576388889,0.262,0.342,0.428,0.77,98,14.36805556,0.826388889,0.270833333,0.277777778,0.284722222,0.25,7.097222222,23,29.3,4.44,4.31,0.868055556,0.131944444,10,7,0.201388889,8.798611111,8.090277778,4.444444444,4.215277778,1.034722222,3.631944444,0.277777778,6.458333333,0.256944444,0.0625,0.208333333,37.375,111,4.49,1.332,8.3,1.1,3.7,6.6,1.78,6.534722222,45,4.44,0.716,9,6.895833333,79.1875,36.90277778,26.39583333,10.00694444,0.5,0.979166667,0.986,44,5,102,101,17,0.432,0.521,0,0.493
Boston Red Sox,1995,53,28.6,144,39.69444444,34.70138889,5.49,9.715277778,1.986111111,0.215277778,1.215277778,5.236111111,0.6875,0.305555556,3.888888889,6.409722222,0.28,0.357,0.455,0.812,108,15.77777778,0.895833333,0.451388889,0.3125,0.340277778,0.263888889,7.527777778,26,29.1,4.85,4.39,0.951388889,0.048611111,9,2,0.270833333,8.973611111,9.291666667,4.847222222,4.381944444,0.881944444,3.305555556,0.194444444,6.166666667,0.319444444,0.006944444,0.395833333,38.88888889,111,4.22,1.403,9.3,0.9,3.3,6.2,1.87,7.111111111,53,4.85,0.682,9,6.930555556,80.79166667,38.74305556,26.93055556,10.97916667,0.833333333,1.048611111,0.978,79,8,103,103,11,0.625,0.590,0,0.597
California Angels,1995,45,28.8,145,39.24137931,34.6137931,5.52,9.586206897,1.737931034,0.172413793,1.282758621,5.248275862,0.4,0.268965517,3.889655172,6.131034483,0.277,0.352,0.448,0.8,108,15.51724138,0.793103448,0.248275862,0.227586207,0.262068966,0.275862069,7.282758621,20,30.7,4.81,4.52,0.944827586,0.055172414,9,3,0.289655172,8.855862069,9.034482759,4.806896552,4.448275862,1.124137931,3.351724138,0.15862069,6.213793103,0.296551724,0.068965517,0.289655172,38.42068966,104,4.59,1.398,9.2,1.1,3.4,6.3,1.85,7.04137931,43,4.81,0.696,9,6.937931034,79.71724138,36.99310345,26.57241379,9.765517241,0.655172414,0.827586207,0.982,17,2,99,99,11,0.533,0.607,-0.1,0.538
Chicago Cubs,1995,43,28.2,144,38.49305556,34.46527778,4.81,9.131944444,1.854166667,0.270833333,1.097222222,4.5,0.729166667,0.256944444,3.055555556,6.618055556,0.265,0.327,0.43,0.757,101,14.81944444,0.763888889,0.236111111,0.493055556,0.243055556,0.319444444,6.638888889,21,27.8,4.66,4.13,0.958333333,0.041666667,12,4,0.3125,9.034722222,9.118055556,4.659722222,4.145833333,1.125,3.597222222,0.472222222,6.430555556,0.236111111,0.041666667,0.263888889,39.33333333,99,4.57,1.407,9.1,1.1,3.6,6.4,1.79,7.569444444,43,4.66,0.695,9,6.8125,81.3125,38.75694444,27.10416667,10.85416667,0.798611111,0.798611111,0.979,16,2,97,97,9,0.442,0.583,0,0.507
Chicago White Sox,1995,46,29.6,145,39.79310345,34.89655172,5.21,9.772413793,1.737931034,0.255172414,1.006896552,4.910344828,0.75862069,0.268965517,3.972413793,5.289655172,0.28,0.354,0.431,0.785,107,15.04137931,0.731034483,0.220689655,0.317241379,0.386206897,0.372413793,7.965517241,26,27.6,5.23,4.85,0.917241379,0.082758621,4,2,0.248275862,8.856551724,9.475862069,5.227586207,4.779310345,1.131034483,4.255172414,0.324137931,6.151724138,0.268965517,0.055172414,0.310344828,39.54482759,93,4.91,1.55,9.6,1.1,4.3,6.2,1.45,7.737931034,46,5.23,0.683,9,6.75862069,79.73793103,37.08275862,26.57931034,9.75862069,0.744827586,0.903448276,0.98,-19,-2,96,95,17,0.468,0.559,0,0.472
Cincinnati Reds,1995,47,28.4,144,38.71527778,34.04861111,5.19,9.208333333,1.923611111,0.243055556,1.118055556,4.819444444,1.319444444,0.472222222,3.604166667,6.569444444,0.27,0.342,0.44,0.782,106,14.97222222,0.638888889,0.277777778,0.430555556,0.347222222,0.291666667,6.951388889,24,28.3,4.33,4.03,0.944444444,0.055555556,10,2,0.263888889,8.952083333,8.819444444,4.326388889,4.013888889,0.909722222,2.944444444,0.222222222,6.270833333,0.215277778,0.069444444,0.402777778,37.8125,102,4.08,1.314,8.9,0.9,3,6.3,2.13,6.625,47,4.33,0.699,9,6.048611111,80.58333333,37.875,26.86111111,10.46527778,0.548611111,0.972222222,0.986,27,3,99,98,13,0.605,0.618,0,0.59
Cleveland Indians,1995,41,29.1,144,39.48611111,34.91666667,5.83,10.14583333,1.9375,0.159722222,1.4375,5.576388889,0.916666667,0.368055556,3.763888889,5.319444444,0.291,0.361,0.479,0.839,116,16.71527778,0.888888889,0.243055556,0.215277778,0.333333333,0.277777778,7.069444444,20,30.6,4.22,3.83,0.930555556,0.069444444,10,4,0.347222222,9.034722222,8.756944444,4.215277778,3.847222222,0.9375,3.090277778,0.111111111,6.430555556,0.3125,0.034722222,0.333333333,38.27777778,123,4.16,1.311,8.7,0.9,3.1,6.4,2.08,6.958333333,40,4.22,0.699,9,7.013888889,81.3125,38.89583333,27.10416667,11.09027778,0.701388889,0.986111111,0.982,-7,-1,101,99,18,0.667,0.667,-0.2,0.694
Colorado Rockies,1995,41,29.5,144,39.21527778,34.68055556,5.45,9.763888889,1.798611111,0.298611111,1.388888889,5.201388889,0.868055556,0.409722222,3.361111111,6.548611111,0.282,0.35,0.471,0.82,94,16.32638889,0.819444444,0.388888889,0.569444444,0.215277778,0.326388889,7.0625,20,28.6,5.44,4.97,0.993055556,0.006944444,1,0,0.298611111,8.945138889,10.02083333,5.4375,4.9375,1.111111111,3.555555556,0.215277778,6.1875,0.284722222,0.090277778,0.430555556,39.625,108,4.62,1.517,10.1,1.1,3.6,6.2,1.74,7.347222222,41,5.44,0.671,9,6.694444444,80.52083333,39.14583333,26.84027778,11.5625,0.743055556,1.013888889,0.981,-33,-3,128,128,10,0.5,0.590,0,0.535
Detroit Tigers,1995,45,28.8,144,38.4375,33.78472222,4.54,8.361111111,1.583333333,0.201388889,1.104166667,4.298611111,0.506944444,0.25,3.826388889,6.854166667,0.247,0.327,0.404,0.731,90,13.65972222,0.840277778,0.284722222,0.243055556,0.298611111,0.208333333,7.0625,22,27.8,5.86,5.49,0.965277778,0.034722222,3,1,0.263888889,8.854166667,10.47916667,5.861111111,5.402777778,1.180555556,3.722222222,0.548611111,5.0625,0.3125,0.048611111,0.465277778,40.09722222,88,5.06,1.604,10.7,1.2,3.8,5.1,1.36,7.673611111,45,5.86,0.672,9,6.8125,79.6875,38.36805556,26.5625,11.06944444,0.736111111,0.993055556,0.981,-50,-5,100,102,11,0.469,0.521,0.1,0.417
Florida Marlins,1995,46,28.1,143,38.94405594,34.16783217,4.71,8.937062937,1.496503497,0.202797203,1.006993007,4.447552448,0.916083916,0.370629371,3.615384615,6.405594406,0.262,0.335,0.406,0.741,95,13.86013986,0.734265734,0.342657343,0.482517483,0.335664336,0.251748252,7.188811189,27,28.3,4.71,4.27,0.916083916,0.083916084,7,5,0.202797203,8.993006993,9.083916084,4.706293706,4.265734266,0.972027972,3.93006993,0.377622378,6.951048951,0.321678322,0.034965035,0.251748252,39.35664336,99,4.37,1.447,9.1,1,3.9,7,1.77,7.671328671,46,4.71,0.683,9,6.818181818,80.93706294,38.03496503,26.97902098,10.25174825,0.804195804,1,0.979,6,1,100,100,8,0.514,0.503,0,0.469
Houston Astros,1995,44,28.1,144,40.67361111,35.39583333,5.19,9.743055556,1.805555556,0.152777778,0.756944444,4.819444444,1.222222222,0.416666667,3.930555556,6.888888889,0.275,0.353,0.399,0.752,105,14.125,0.791666667,0.479166667,0.541666667,0.326388889,0.402777778,8.006944444,19,27.9,4.68,4.06,0.958333333,0.041666667,8,4,0.222222222,9.167361111,9.423611111,4.680555556,4.138888889,0.819444444,3.194444444,0.361111111,7.333333333,0.347222222,0.041666667,0.368055556,39.60416667,95,3.82,1.376,9.2,0.8,3.1,7.2,2.3,7.416666667,43,4.68,0.673,9,6.694444444,82.52083333,39.72916667,27.50694444,11.38194444,0.840277778,0.833333333,0.979,-47,-5,92,92,13,0.465,0.646,0,0.528
Kansas City Royals,1995,51,29.1,144,38.38888889,34.04861111,4.37,8.854166667,1.666666667,0.243055556,0.826388889,4.013888889,0.833333333,0.368055556,3.298611111,5.895833333,0.26,0.328,0.396,0.724,87,13.48611111,0.729166667,0.298611111,0.458333333,0.270833333,0.229166667,7.069444444,21,28,4.8,4.49,0.923611111,0.076388889,10,3,0.256944444,8.944444444,9.1875,4.798611111,4.458333333,0.986111111,3.493055556,0.263888889,5.298611111,0.263888889,0.034722222,0.3125,38.61805556,107,4.61,1.418,9.2,1,3.5,5.3,1.52,6.986111111,51,4.8,0.699,9,6.486111111,80.5,38.98611111,26.83333333,11.52777778,0.625,1.166666667,0.984,46,5,101,101,13,0.558,0.549,0,0.486
Los Angeles Dodgers,1995,49,27.4,144,38.5,34.31944444,4.4,9.048611111,1.326388889,0.215277778,0.972222222,4.118055556,0.881944444,0.3125,3.25,7.104166667,0.264,0.329,0.4,0.729,99,13.72222222,0.6875,0.208333333,0.472222222,0.243055556,0.319444444,7.284722222,21,27.8,4.23,3.66,0.888888889,0.111111111,11,9,0.256944444,8.993055556,8.25,4.229166667,3.652777778,0.868055556,3.208333333,0.3125,7.361111111,0.256944444,0.083333333,0.340277778,38.0625,103,3.88,1.274,8.3,0.9,3.2,7.4,2.29,6.854166667,49,4.23,0.697,9,6.708333333,80.9375,38.22916667,26.97916667,10.34722222,0.902777778,0.833333333,0.976,-24,-3,91,90,11,0.422,0.681,-0.1,0.542
Milwaukee Brewers,1995,41,27.9,144,39.10416667,34.72222222,5.14,9.229166667,1.729166667,0.291666667,0.888888889,4.861111111,0.729166667,0.277777778,3.486111111,5.555555556,0.266,0.336,0.409,0.745,89,14.20833333,0.729166667,0.319444444,0.284722222,0.291666667,0.138888889,7.027777778,22,27.3,5.19,4.82,0.951388889,0.048611111,4,0,0.215277778,8.930555556,9.659722222,5.1875,4.784722222,1.013888889,4.1875,0.270833333,4.854166667,0.326388889,0.048611111,0.3125,39.63194444,103,5.01,1.551,9.7,1,4.2,4.9,1.16,7.652777778,40,5.19,0.688,9,5.666666667,80.375,39.11111111,26.79166667,11.59027778,0.729166667,1.291666667,0.981,3,0,105,105,10,0.485,0.583,-0.1,0.451
Minnesota Twins,1995,46,27.4,144,38.80555556,34.75694444,4.88,9.708333333,1.875,0.236111111,0.833333333,4.597222222,0.729166667,0.395833333,3.270833333,6.361111111,0.279,0.346,0.419,0.765,98,14.55555556,1.055555556,0.402777778,0.125,0.25,0.222222222,7.118055556,22,25.7,6.17,5.76,0.951388889,0.048611111,2,2,0.1875,8.834722222,10.06944444,6.173611111,5.659722222,1.458333333,3.701388889,0.125,5.486111111,0.25,0.027777778,0.361111111,39.68055556,84,5.35,1.558,10.3,1.5,3.8,5.6,1.48,6.993055556,44,6.17,0.684,9,6.743055556,79.54166667,37.53472222,26.51388889,10.32638889,0.694444444,0.979166667,0.981,4,0,101,102,7,0.455,0.535,0.1,0.389
Montreal Expos,1995,45,26.2,144,37.86805556,34.0625,4.31,8.805555556,1.840277778,0.166666667,0.819444444,3.972222222,0.833333333,0.340277778,2.777777778,6.256944444,0.259,0.32,0.394,0.714,85,13.4375,0.743055556,0.388888889,0.402777778,0.222222222,0.298611111,6.736111111,21,27.6,4.43,4.11,0.951388889,0.048611111,9,5,0.291666667,8.911111111,8.930555556,4.430555556,4.069444444,0.888888889,2.888888889,0.180555556,6.597222222,0.409722222,0.0625,0.3125,38.13194444,106,4.03,1.326,9,0.9,2.9,6.7,2.28,6.958333333,45,4.43,0.689,9,6.770833333,80.22916667,38.31944444,26.74305556,10.81944444,0.756944444,0.826388889,0.98,-12,-1,103,103,12,0.465,0.549,0,0.458
New York Mets,1995,45,27.4,144,38.75694444,34.43055556,4.56,9.1875,1.513888889,0.236111111,0.868055556,4.284722222,0.402777778,0.270833333,3.097222222,6.902777778,0.267,0.33,0.4,0.73,95,13.77777778,0.729166667,0.291666667,0.638888889,0.298611111,0.305555556,7.229166667,22,27.2,4.29,3.88,0.9375,0.0625,9,1,0.25,8.965277778,9,4.291666667,3.861111111,0.923611111,2.784722222,0.333333333,6.256944444,0.243055556,0.083333333,0.270833333,38.07638889,104,4.06,1.314,9,0.9,2.8,6.3,2.25,6.888888889,44,4.29,0.692,9,6.694444444,80.6875,38.82638889,26.89583333,11.13194444,0.798611111,0.868055556,0.979,-22,-2,96,96,13,0.467,0.549,0,0.479
New York Yankees,1995,42,31.1,145,39.30344828,34.11724138,5.17,9.413793103,1.931034483,0.234482759,0.84137931,4.889655172,0.344827586,0.206896552,4.310344828,5.868965517,0.276,0.357,0.42,0.778,103,14.33793103,0.95862069,0.268965517,0.137931034,0.468965517,0.248275862,7.765517241,20,28.1,4.74,4.56,0.875862069,0.124137931,5,3,0.24137931,8.856551724,8.868965517,4.744827586,4.489655172,1.096551724,3.689655172,0.144827586,6.262068966,0.220689655,0.034482759,0.344827586,38.44827586,102,4.62,1.417,9,1.1,3.7,6.4,1.7,7.124137931,42,4.74,0.702,9,6.931034483,79.73793103,36.86206897,26.57931034,9.772413793,0.510344828,0.834482759,0.986,9,1,99,98,20,0.452,0.586,0,0.549
Oakland Athletics,1995,44,29.5,144,39.00694444,34.13888889,5.07,9,1.583333333,0.125,1.173611111,4.819444444,0.777777778,0.319444444,3.923611111,6.326388889,0.264,0.341,0.42,0.762,106,14.35416667,0.75,0.3125,0.222222222,0.402777778,0.173611111,7.284722222,23,30.9,5.28,4.93,0.944444444,0.055555556,4,2,0.236111111,8.840277778,9.166666667,5.284722222,4.847222222,1.0625,3.861111111,0.180555556,6.180555556,0.368055556,0.027777778,0.388888889,38.93055556,87,4.7,1.474,9.3,1.1,3.9,6.3,1.6,7.125,44,5.28,0.688,9,6.583333333,79.5625,37.54861111,26.52083333,10.31944444,0.708333333,1.048611111,0.981,-36,-4,91,91,13,0.419,0.507,0,0.465
Philadelphia Phillies,1995,50,29.7,144,38.97916667,34.375,4.27,9,1.826388889,0.208333333,0.652777778,4,0.5,0.173611111,3.451388889,6.138888889,0.262,0.332,0.384,0.716,90,13.20138889,0.743055556,0.319444444,0.534722222,0.284722222,0.263888889,7.736111111,26,27.1,4.57,4.21,0.944444444,0.055555556,8,3,0.284722222,8.959027778,8.618055556,4.569444444,4.1875,0.930555556,3.736111111,0.25,6.805555556,0.381944444,0.069444444,0.395833333,38.71527778,100,4.31,1.379,8.7,0.9,3.8,6.8,1.82,7.263888889,49,4.57,0.697,9,7.291666667,80.64583333,38.11111111,26.88194444,10.55555556,0.673611111,0.965277778,0.982,5,1,99,100,16,0.465,0.563,0.1,0.479
Pittsburgh Pirates,1995,40,28.3,144,38.20138889,34.28472222,4.37,8.895833333,1.701388889,0.1875,0.868055556,4.076388889,0.583333333,0.381944444,3.166666667,6.75,0.259,0.323,0.396,0.719,88,13.57638889,0.611111111,0.166666667,0.354166667,0.229166667,0.3125,7.013888889,21,26.4,5.11,4.7,0.923611111,0.076388889,7,3,0.201388889,8.854861111,9.770833333,5.111111111,4.625,0.902777778,3.3125,0.347222222,6.048611111,0.395833333,0.027777778,0.451388889,39.01388889,91,4.32,1.477,9.9,0.9,3.4,6.1,1.83,7.333333333,40,5.11,0.669,9,6.569444444,79.70833333,38.44444444,26.56944444,11.02777778,0.847222222,0.958333333,0.978,-40,-4,101,102,6,0.413,0.514,0,0.403
San Diego Padres,1995,40,28.7,144,38.38194444,34.375,4.64,9.340277778,1.604166667,0.138888889,0.805555556,4.291666667,0.861111111,0.319444444,3.104166667,6.055555556,0.272,0.334,0.397,0.731,95,13.63888889,0.868055556,0.243055556,0.388888889,0.263888889,0.3125,6.930555556,20,26.6,4.67,4.13,0.958333333,0.041666667,10,5,0.243055556,8.918055556,8.625,4.666666667,4.097222222,0.986111111,3.555555556,0.256944444,7.270833333,0.354166667,0.034722222,0.416666667,38.39583333,98,4.22,1.365,8.7,1,3.6,7.3,2.04,6.965277778,40,4.67,0.69,9,6.472222222,80.29166667,38.19444444,26.76388889,10.68055556,0.75,0.902777778,0.98,-85,-9,97,97,9,0.476,0.549,0,0.486
Seattle Mariners,1995,46,28.7,145,39.11034483,34.45517241,5.49,9.496551724,1.903448276,0.137931034,1.255172414,5.289655172,0.75862069,0.282758621,3.786206897,6.006896552,0.276,0.35,0.448,0.798,106,15.44137931,0.751724138,0.268965517,0.35862069,0.234482759,0.365517241,7.124137931,24,28.9,4.88,4.5,0.937931034,0.062068966,8,3,0.268965517,8.890344828,9.262068966,4.882758621,4.44137931,1.027586207,4.075862069,0.255172414,7.365517241,0.324137931,0.048275862,0.344827586,39.60689655,106,4.43,1.5,9.4,1,4.1,7.5,1.81,8.048275862,46,4.88,0.676,9,6.737931034,80.02758621,36.75172414,26.67586207,9.35862069,0.717241379,0.744827586,0.98,10,1,101,101,12,0.439,0.586,0,0.545
San Francisco Giants,1995,46,28.7,144,38.90972222,34.52083333,4.53,8.722222222,1.590277778,0.229166667,1.055555556,4.236111111,0.958333333,0.319444444,3.277777778,7.361111111,0.253,0.323,0.404,0.727,95,13.9375,0.638888889,0.395833333,0.548611111,0.166666667,0.381944444,7.263888889,25,28.6,5.39,4.86,0.916666667,0.083333333,5,1,0.236111111,8.980555556,9.5,5.388888889,4.854166667,1.201388889,3.506944444,0.354166667,5.5625,0.388888889,0.104166667,0.298611111,39.38888889,83,4.9,1.448,9.5,1.2,3.5,5.6,1.59,7.048611111,46,5.39,0.694,9,6.958333333,80.85416667,38.45138889,26.95138889,10.75,0.75,0.986111111,0.98,78,8,95,96,8,0.634,0.583,0,0.465
St. Louis Cardinals,1995,46,28.7,143,37.40559441,33.41958042,3.94,8.265734266,1.664335664,0.167832168,0.748251748,3.727272727,0.552447552,0.321678322,3.048951049,6.433566434,0.247,0.314,0.374,0.688,83,12.51048951,0.769230769,0.321678322,0.335664336,0.27972028,0.216783217,6.692307692,21,30.2,4.6,4.09,0.972027972,0.027972028,6,2,0.265734266,8.847552448,9.020979021,4.601398601,4.020979021,0.944055944,3.111888112,0.258741259,5.888111888,0.27972028,0.041958042,0.356643357,37.9020979,102,4.31,1.371,9.2,1,3.2,6,1.89,6.748251748,46,4.6,0.69,9,7.104895105,79.65734266,38.68531469,26.55244755,11.34265734,0.79020979,1.090909091,0.98,40,4,98,99,11,0.5,0.476,0,0.434
Texas Rangers,1995,46,29,144,38.65277778,34.11805556,4.8,9.055555556,1.715277778,0.166666667,0.958333333,4.520833333,0.625,0.326388889,3.652777778,6.090277778,0.265,0.338,0.41,0.747,92,13.97916667,0.777777778,0.229166667,0.340277778,0.3125,0.194444444,7.159722222,22,30.6,5,4.66,0.902777778,0.097222222,4,3,0.236111111,8.923611111,9.618055556,5,4.618055556,1.055555556,3.569444444,0.263888889,5.819444444,0.25,0.041666667,0.416666667,39.06944444,105,4.62,1.478,9.7,1.1,3.6,5.9,1.63,7.298611111,45,5,0.683,9,6.659722222,80.3125,38.48611111,26.77083333,11.03472222,0.680555556,1.083333333,0.982,24,3,103,103,10,0.538,0.646,-0.1,0.514
